date,product,category,quantity,unit_price,total,region
2024-01-01,Widget A,Electronics,15,2500,37500,Tokyo
2024-01-01,Widget B,Electronics,8,3200,25600,Tokyo
2024-01-01,Gadget X,Home,22,1500,33000,Osaka
2024-01-02,Widget A,Electronics,12,2500,30000,Tokyo
2024-01-02,Gadget Y,Home,18,1800,32400,Nagoya
2024-01-02,Widget C,Electronics,5,4500,22500,Osaka
2024-01-03,Gadget X,Home,30,1500,45000,Tokyo
2024-01-03,Widget B,Electronics,10,3200,32000,Fukuoka
2024-01-03,Widget A,Electronics,20,2500,50000,Osaka
2024-01-04,Gadget Z,Home,14,2200,30800,Tokyo
2024-01-04,Widget C,Electronics,7,4500,31500,Nagoya
2024-01-04,Gadget Y,Home,25,1800,45000,Tokyo
2024-01-05,Widget A,Electronics,18,2500,45000,Fukuoka
2024-01-05,Widget B,Electronics,12,3200,38400,Tokyo
2024-01-05,Gadget X,Home,28,1500,42000,Osaka
2024-01-06,Widget C,Electronics,9,4500,40500,Tokyo
2024-01-06,Gadget Z,Home,16,2200,35200,Nagoya
2024-01-06,Widget A,Electronics,22,2500,55000,Tokyo
2024-01-07,Gadget Y,Home,20,1800,36000,Fukuoka
2024-01-07,Widget B,Electronics,15,3200,48000,Osaka
2024-01-07,Gadget X,Home,35,1500,52500,Tokyo
