date,symbol,open,high,low,close,volume
2024-01-02,AAPL,185.50,186.80,184.20,186.50,52000000
2024-01-02,GOOGL,140.20,141.50,139.80,141.20,28000000
2024-01-02,MSFT,375.00,378.50,374.00,377.80,22000000
2024-01-03,AAPL,186.80,188.20,185.50,187.50,48000000
2024-01-03,GOOGL,141.50,143.00,140.80,142.80,32000000
2024-01-03,MSFT,378.00,380.50,376.50,379.20,25000000
2024-01-04,AAPL,187.00,187.80,184.50,185.20,55000000
2024-01-04,GOOGL,142.50,143.20,140.00,140.50,35000000
2024-01-04,MSFT,379.00,379.50,375.00,376.00,28000000
2024-01-05,AAPL,185.50,188.50,185.00,188.00,50000000
2024-01-05,GOOGL,140.80,142.50,140.20,142.00,30000000
2024-01-05,MSFT,376.50,380.00,376.00,379.50,24000000
2024-01-08,AAPL,188.20,190.50,187.80,190.00,58000000
2024-01-08,GOOGL,142.20,144.00,141.80,143.50,33000000
2024-01-08,MSFT,380.00,382.50,379.00,381.80,26000000
2024-01-09,AAPL,190.50,191.80,189.00,191.20,52000000
2024-01-09,GOOGL,143.80,145.00,143.00,144.50,31000000
2024-01-09,MSFT,382.00,384.00,381.00,383.50,23000000
2024-01-10,AAPL,191.00,192.50,190.00,192.00,48000000
2024-01-10,GOOGL,144.80,146.00,144.00,145.80,29000000
2024-01-10,MSFT,383.50,386.00,383.00,385.50,25000000
