user_id,session_start,session_end,page_views,clicks,duration_sec,device,country
U001,2024-01-15 09:00:00,2024-01-15 09:15:32,12,8,932,mobile,JP
U002,2024-01-15 09:05:00,2024-01-15 09:45:18,28,15,2418,desktop,JP
U003,2024-01-15 09:12:00,2024-01-15 09:18:45,5,2,405,mobile,US
U004,2024-01-15 09:20:00,2024-01-15 10:05:00,42,28,2700,desktop,JP
U005,2024-01-15 09:30:00,2024-01-15 09:35:12,3,1,312,tablet,UK
U001,2024-01-15 14:00:00,2024-01-15 14:22:45,18,12,1365,mobile,JP
U006,2024-01-15 14:15:00,2024-01-15 15:00:00,35,22,2700,desktop,US
U007,2024-01-15 14:30:00,2024-01-15 14:42:30,8,5,750,mobile,JP
U002,2024-01-15 16:00:00,2024-01-15 16:30:00,22,14,1800,desktop,JP
U008,2024-01-15 16:20:00,2024-01-15 16:25:00,2,0,300,mobile,DE
U003,2024-01-15 18:00:00,2024-01-15 18:45:00,32,20,2700,tablet,US
U009,2024-01-15 18:30:00,2024-01-15 18:35:00,1,0,300,mobile,JP
U004,2024-01-15 20:00:00,2024-01-15 21:00:00,55,35,3600,desktop,JP
U010,2024-01-15 20:15:00,2024-01-15 20:28:00,10,6,780,mobile,FR
U005,2024-01-15 21:00:00,2024-01-15 21:12:00,7,4,720,tablet,UK
